Reference,Description,Voices,Notes per voice,Tempo (MM),Tempo (Hz),Time,Frequency sequence (hz),Note dur (s),Gain,Repeat,Notes,,,Ratio to crotchet,Draft,Rounded
3.005,12.1,12,1,65,1.08,11.08,"6864.28, 8119.55, 7297.98, 8335.09, 7870.36, 7044.08, 8523.04, 7822.94, 7808.27, 6942.78, 8302.9, 8789.73",0.69,0.3,0,,,,0.75,0.6923076923,69
3.0051,12.2,12,1,106,1.77,6.79,"6864.28, 8119.55, 7297.98, 8335.09, 7870.36, 7044.08, 8523.04, 7822.94, 7808.27, 6942.78, 8302.9, 8789.73",0.46,0.4,0,,,,0.8125,0.4599056604,46
3.0052,12.3,12,1,216,3.60,3.33,"6864.28, 8119.55, 7297.98, 8335.09, 7870.36, 7044.08, 8523.04, 7822.94, 7808.27, 6942.78, 8302.9, 8789.73",0.24,0.5,0,,,,0.875,0.2430555556,24
3.0053,12.4,12,1,366,6.10,1.97,"6864.28, 8119.55, 7297.98, 8335.09, 7870.36, 7044.08, 8523.04, 7822.94, 7808.27, 6942.78, 8302.9, 8789.73",0.15,0.6,0,,,,0.9375,0.1536885246,15
3.0054,12.5,12,1,840,14.00,0.86,"6864.28, 8119.55, 7297.98, 8335.09, 7870.36, 7044.08, 8523.04, 7822.94, 7808.27, 6942.78, 8302.9, 8789.73",0.07,0.65,4,trigger to next,,,1,0.07142857143,7
3.006,10.1,10,1,60,1.00,10.00,"8345.12, 7624.02, 7361.67, 7841.72, 7332.15, 8380.03, 7433.23, 8880.06, 6771.43, 7987.05",0.75,0.35,0,,,,0.75,0.75,75
3.0061,10.2,10,1,99,1.65,6.06,"8345.12, 7624.02, 7361.67, 7841.72, 7332.15, 8380.03, 7433.23, 8880.06, 6771.43, 7987.05",0.49,0.45,0,,,,0.8125,0.4924242424,49
3.0062,10.3,10,1,216,3.60,2.78,"8345.12, 7624.02, 7361.67, 7841.72, 7332.15, 8380.03, 7433.23, 8880.06, 6771.43, 7987.05",0.24,0.55,0,,,,0.875,0.2430555556,24
3.0063,10.4,10,1,386,6.43,1.55,"8345.12, 7624.02, 7361.67, 7841.72, 7332.15, 8380.03, 7433.23, 8880.06, 6771.43, 7987.05",0.15,0.65,0,,,,0.9375,0.1457253886,15
3.0064,10.5,10,1,880,14.67,0.68,"8345.12, 7624.02, 7361.67, 7841.72, 7332.15, 8380.03, 7433.23, 8880.06, 6771.43, 7987.05",0.07,0.7,4,trigger to next,,,1,0.06818181818,7
3.007,8.1,8,1,55,0.92,8.73,"8822.02, 8656.91, 7162.43, 6738.49, 8809.04, 7482.84, 7621.34, 8074.01",0.82,0.4,0,,,,0.75,0.8181818182,82
3.0071,8.2,8,1,92,1.53,5.22,"8822.02, 8656.91, 7162.43, 6738.49, 8809.04, 7482.84, 7621.34, 8074.01",0.53,0.5,0,,,,0.8125,0.5298913043,53
3.0072,8.3,8,1,216,3.60,2.22,"8822.02, 8656.91, 7162.43, 6738.49, 8809.04, 7482.84, 7621.34, 8074.01",0.24,0.6,0,,,,0.875,0.2430555556,24
