Reference,Description,Voices,Notes per voice,Tempo (MM),Tempo (Hz),Time,Frequency sequence (hz),Note dur (s),Gain,Repeat,Notes,,,Ratio to crotchet,Draft,Rounded
3.204,-24.5,24,1,45,0.75,32.00,"4728.28, 6339.83, 5434.28, 6130.96, 6654.63, 5536.65, 5350.3, 4315.64, 5897.35, 6645.16, 5374.82, 5546.84, 6009.18, 5269.97, 4817.28, 4858.87, 8816.77, 6731.2, 7694.15, 6364.84, 6537.88, 7153.64, 7536.58, 4819.63",0.8,0.1,4,trigger to next,,,0.6,0.8,80
3.3,Pointilistic Soundscape ,All,1,45-418 over 60 second period,N/A,60.00,Random pitch selector; 60-9000 hz,0.67 to 10 seconds over 60 second period,0.1-1 over a 40 second period,N/A,"Single sounds, consistent rhythm",,,,,
3.4,Holding mass random pitches,All,1,6,0.10,10.00,Random pitch selector; 60-9000 hz,10,1,0,,,,,,
3.5,Silence,N/A,N/A,N/A,N/A,6.66,N/A,6.66,N/A,0,If there could be a lighting effect on the phones here tha'd be swell (or swoll),,,,,
3.6,Heart rate and Movement Pads come in,N/A,N/A,N/A,N/A,4.44,N/A,4.44,0-0.5,0,"The ""soundscape parts"" should fade in over 4 seconds",,,,,
,,,,,,,,,,,,,,,,
4,"Melodic squence, klangfaben melody",A,1,N/A (60),N/A,1.50,293.66,1.50,1,0,,,,,,
,,B,1,N/A (60),N/A,0.50,311.13,0.50,1,0,,,,,,
,,C,1,N/A (60),N/A,0.50,349.23,0.50,1,0,,,,,,
,,D,1,N/A (60),N/A,0.50,392,0.50,1,0,,,,,,
,,E,1,N/A (60),N/A,2.00,440,2.00,1,0,,,,,,
,,F,1,N/A (60),N/A,1.50,554.37,1.50,1,0,,,,,,
,,G,1,N/A (60),N/A,0.50,622.25,0.50,1,0,,,,,,
,,H,1,N/A (60),N/A,0.50,587.33,0.50,1,0,,,,,,
,,I,1,N/A (60),N/A,0.50,523.25,0.50,1,0,,,,,,
,,J,1,N/A (60),N/A,1.50,466.16,1.50,1,0,,,,,,
,,K,1,N/A (60),N/A,0.50,440,0.50,1,0,,,,,,
,,L,1,N/A (60),N/A,0.50,392,0.50,1,0,,,,,,
,,M,1,N/A (60),N/A,0.50,349.23,0.50,1,0,,,,,,
,,N,1,N/A (60),N/A,0.50,311.13,0.50,1,0,,,,,,
,,O,1,N/A (60),N/A,3.00,293.66,3.00,1,0,,,,,,
,,P,1,N/A (60),N/A,2.00,261.63,2.00,1,0,,,,,,
,,Q,1,N/A (60),N/A,0.50,220,0.50,1,0,,,,,,
,,R,1,N/A (60),N/A,0.50,233.08,0.50,1,0,,,,,,
,,S,1,N/A (60),N/A,2.50,261.63,2.50,1,0,,,,,,
,,T,1,N/A (60),N/A,2.00,277.18,2.00,1,0,,,,,,
,,U,1,N/A (60),N/A,2.50,293.66,2.50,1,0,,,,,,
,,V,1,N/A (60),N/A,0.50,311.13,0.50,1,0,,,,,,
,,W,1,N/A (60),N/A,0.50,349.23,0.50,1,0,,,,,,
,,X,1,N/A (60),N/A,0.50,392,0.50,1,0,,,,,,
,,"A,X",2,N/A,N/A,2.25,"293.66, 440",2.25,0.95,0,,,,,,
,,"B,W",2,N/A,N/A,1.00,"311.13, 392",1.00,0.95,0,,,,,,
,,"C,V",2,N/A,N/A,1.00,"349.23, 440",1.00,0.95,0,,,,,,
,,"D,U",2,N/A,N/A,1.00,"392, 466.16",1.00,0.95,0,,,,,,
,,"E,T",2,N/A,N/A,3.00,"440, 622.25",3.00,0.95,0,,,,,,
,,"F,S",2,N/A,N/A,2.25,"554.37, 698.46",2.25,0.95,0,,,,,,
,,"G,R",2,N/A,N/A,1.00,"622.25, 698.46",1.00,0.95,0,,,,,,
,,"H,Q",2,N/A,N/A,1.00,"587.33, 783.99",1.00,0.95,0,,,,,,
,,"I,P",2,N/A,N/A,1.00,"523.25, 622.25",1.00,0.95,0,,,,,,
,,"J,O",2,N/A,N/A,2.25,"466.16, 554.37",2.25,0.95,0,,,,,,
,,"K,N",2,N/A,N/A,1.00,"440, 523.25",1.00,0.95,0,,,,,,
,,"L,M",2,N/A,N/A,1.00,"392, 440",1.00,0.95,0,,,,,,
,,"A,X,L",3,N/A,N/A,4.00,"293.66, 440 ,311.13",4.00,0.9,0,,,,,,
,,"B,W,M",3,N/A,N/A,2.00,"311.13, 392 ,261.63",2.00,0.9,0,,,,,,
,,"C,V,K",3,N/A,N/A,2.00,"349.23, 440 ,233.08",2.00,0.9,0,,,,,,
,,"D,U,N",3,N/A,N/A,2.00,"392, 466.16 ,220",2.00,0.9,0,,,,,,
,,"E,T,J",3,N/A,N/A,4.50,"440, 622.25 ,196",4.50,0.9,0,,,,,,
,,"F,S,O",3,N/A,N/A,4.00,"554.37, 698.46 ,220",4.00,0.9,0,,,,,,
,,"G,R,I",3,N/A,N/A,2.00,"622.25, 698.46 ,277.18",2.00,0.9,0,,,,,,
,,"H,Q,P",3,N/A,N/A,2.00,"587.33, 783.99 ,233.08",2.00,0.9,0,,,,,,
,,"A,X,L,P",4,N/A,N/A,4.00,"293.66, 440 ,311.13 ,196",4.00,0.85,0,,,,,,
,,"B,W,M,Q",4,N/A,N/A,2.80,"311.13, 392 ,261.63 ,196",2.80,0.85,0,,,,,,
,,"C,V,K,H",4,N/A,N/A,2.80,"349.23, 440 ,233.08 ,155.56",2.80,0.85,0,,,,,,
,,"D,U,N,I",4,N/A,N/A,2.80,"392, 466.16 ,220 ,130.81",2.80,0.85,0,,,,,,
,,"E,T,J,R",4,N/A,N/A,4.50,"440, 622.25 ,196 ,110",4.50,0.85,0,,,,,,
,,"F,S,O,G",4,N/A,N/A,5.00,"554.37, 698.46 ,220 ,155.56",5.00,0.85,0,,,,,,
,,"A,X,L,P,G,O",6,N/A,N/A,4.00,"293.66, 440 ,311.13 ,196 ,783.99 ,146.83",4.00,0.8,0,,,,,,
,,"B,W,M,Q,S,F",6,N/A,N/A,3.20,"311.13, 392 ,261.63 ,196 ,622.25 ,138.59",3.20,0.8,0,,,,,,
,,"C,V,K,H,R,J",6,N/A,N/A,3.20,"349.23, 440 ,233.08 ,155.56 ,587.33 ,110",3.20,0.8,0,,,,,,
,,"D,U,N,I,T,E",6,N/A,N/A,3.20,"392, 466.16 ,220 ,130.81 ,622.25 ,98",3.20,0.8,0,,,,,,
,,"A,X,L,P,G,O,E,T",8,N/A,N/A,4.00,"293.66, 440 ,311.13 ,196 ,783.99 ,146.83 ,523.25 ,87.31",4.00,0.75,0,,,,,,
,,"B,W,M,Q,S,F,I,N",8,N/A,N/A,3.50,"311.13, 392 ,261.63 ,196 ,622.25 ,138.59 ,466.16 ,110",3.50,0.75,0,,,,,,
,,"C,V,K,H,R,J,U,D",8,N/A,N/A,3.50,"349.23, 440 ,233.08 ,155.56 ,587.33 ,110 ,277.18 ,110",3.50,0.75,0,,,,,,
,,"A,X,L,P,G,O,E,T,D,U,J,R",12,N/A,N/A,5.00,"293.66, 440 ,311.13 ,196 ,783.99 ,146.83 ,523.25 ,87.31 ,698.46 ,622.25 ,116.54 ,261.63",5.00,0.7,0,,,,,,
,,"B,W,M,Q,S,F,I,N,H,K,V,C",12,N/A,N/A,5.00,"311.13, 392 ,261.63 ,196 ,622.25 ,138.59 ,466.16 ,110 ,698.46 ,880 ,1108.73 ,73.42",5.00,0.7,0,,,,,,
,,"A,X,L,P,G,O,E,T,D,U,J,R,B,W,M,Q,S,F,I,N,H,K,V,C",24,N/A,N/A,8.00,"293.66, 440 ,311.13 ,196 ,783.99 ,146.83 ,523.25 ,87.31 ,698.46 ,622.25 ,116.54 ,261.63 ,49, 233.08 ,466.16 ,554.37 ,880 ,932.33 ,1046.5 ,1174.66 ,1244.51 ,1567.98 ,2217.46 ,3135.96",8.00,0.65,0,,,,,,
